Feature,Importance
BMI,0.20973540943591712
Blood_Pressure,0.1586847553252244
Cholesterol,0.10814159246171318
Stress_Level,0.08564035444976494
Glucose_Level,0.0723692321711372
Sleep_Hours,0.06940436780532169
Age,0.06737758379725918
Heart_Rate,0.04949143467571507
Water_Intake,0.048155468709837515
Exercise_Hours,0.026469323303221392
Smoking,0.011176387275255741
MentalHealth,0.01105199384629405
Allergies,0.01103751438843612
PhysicalActivity,0.01095194016212222
Alcohol,0.01087415071658903
MedicalHistory,0.01083139753086832
Diet,0.010544075460911996
Diet_Type__Vegan,0.005933700594234249
Blood_Group_B,0.0056180620949334405
Blood_Group_O,0.005542185859539872
Diet_Type__Vegetarian,0.005496068214859529
Blood_Group_AB,0.0054730017208438455
